SERIAL NUMBER,HLY-TEMP-NORMAL,HLY-PRES-NORMAL,HLY-DEWP-NORMAL
1,349,10205,289
2,344,10202,287
3,339,10200,284
4,334,10202,283
5,331,10202,280
6,327,10200,279
7,325,10203,277
8,323,10208,276
9,321,10213,274
10,338,10217,282
11,364,10221,289
12,394,10220,293
13,421,10211,292
14,442,10200,291
15,456,10193,289
16,462,10190,285
17,458,10192,285
18,441,10196,286
19,412,10201,285
20,396,10206,288
21,382,10209,290
22,372,10211,290
23,363,10210,290
24,355,10209,290
25,349,10206,288
26,344,10202,287
27,339,10201,284
28,335,10202,283
29,331,10202,280
30,327,10200,279
31,325,10204,277
32,323,10208,276
33,321,10213,275
34,338,10217,283
35,366,10220,291
36,396,10219,295
37,424,10211,295
38,445,10200,294
39,460,10193,291
40,465,10190,288
41,461,10192,288
42,444,10196,287
43,415,10201,287
44,398,10206,291
45,385,10209,292
46,374,10210,292
47,365,10209,292
48,358,10209,291
49,351,10205,289
50,346,10202,288
51,341,10200,285
52,337,10201,284
53,333,10202,282
54,329,10200,281
55,327,10203,279
56,325,10208,278
57,323,10212,277
58,340,10216,285
59,367,10220,292
60,397,10219,296
61,425,10210,297
62,445,10199,295
63,459,10192,292
64,465,10190,289
65,460,10192,289
66,443,10196,289
67,415,10200,288
68,398,10205,292
69,385,10208,293
70,374,10209,293
71,365,10209,293
72,357,10208,292
73,350,10204,290
74,345,10201,287
75,340,10199,285
76,336,10200,283
77,331,10201,281
78,328,10199,280
79,325,10202,278
80,324,10206,277
81,322,10211,276
82,338,10215,284
83,366,10219,290
84,396,10218,294
85,423,10210,294
86,443,10198,292
87,456,10192,289
88,462,10189,287
89,457,10191,286
90,441,10195,287
91,413,10199,286
92,395,10204,289
93,383,10207,290
94,372,10209,290
95,364,10208,290
96,356,10207,289
97,348,10204,287
98,342,10200,284
99,337,10199,281
100,332,10200,279
101,328,10200,277
102,324,10199,275
103,322,10202,274
104,320,10206,273
105,318,10211,272
106,335,10215,280
107,363,10219,287
108,393,10218,290
109,421,10210,291
110,441,10199,289
111,455,10192,286
112,460,10189,283
113,456,10192,283
114,439,10196,284
115,411,10200,283
116,394,10205,287
117,382,10208,288
118,371,10209,288
119,363,10209,288
120,355,10208,287
121,348,10204,285
122,342,10201,282
123,337,10199,280
124,332,10200,278
125,328,10201,276
126,325,10199,275
127,322,10202,274
128,321,10206,273
129,318,10211,272
130,335,10216,280
131,363,10219,286
132,393,10219,289
133,420,10210,289
134,440,10199,286
135,453,10192,283
136,459,10189,280
137,455,10191,281
138,438,10195,282
139,411,10200,281
140,394,10205,285
141,381,10207,287
142,371,10209,287
143,362,10208,286
144,354,10207,286
145,347,10203,284
146,341,10200,282
147,336,10198,279
148,332,10199,277
149,328,10199,276
150,325,10198,274
151,322,10201,274
152,320,10205,274
153,318,10210,272
154,334,10214,280
155,362,10217,286
156,392,10216,290
157,419,10208,290
158,440,10197,287
159,453,10190,283
160,459,10187,281
161,454,10189,281
162,438,10193,281
163,410,10198,281
164,393,10203,284
165,380,10205,285
166,370,10207,286
167,361,10206,286
168,353,10205,285
169,346,10202,282
170,340,10198,280
171,334,10196,278
172,330,10197,276
173,326,10198,275
174,322,10196,273
175,320,10199,272
176,317,10203,271
177,315,10209,269
178,331,10213,276
179,359,10216,283
180,390,10216,285
181,416,10208,284
182,437,10196,280
183,451,10189,277
184,457,10187,274
185,452,10188,274
186,436,10193,274
187,408,10197,275
188,390,10202,278
189,377,10205,280
190,367,10206,280
191,357,10206,280
192,349,10205,279
193,343,10201,278
194,336,10198,275
195,331,10196,273
196,326,10197,271
197,322,10197,270
198,319,10196,268
199,316,10199,267
200,313,10203,266
